Date,Category,Type,Amount
2023-05-30,Software Licenses,Expense,7340.09
2023-06-17,Office Rent,Revenue,5113.92
2024-06-23,Product Sales,Revenue,1424.46
2023-05-14,Software Licenses,Revenue,8767.4
2023-05-08,Salaries,Revenue,9491.83
2024-06-08,Office Rent,Revenue,4682.93
2023-04-28,Marketing,Revenue,1390.89
2023-12-06,Salaries,Revenue,7402.29
2024-11-21,Product Sales,Expense,1922.82
2024-05-03,Service Fees,Expense,4337.26
2024-06-14,Software Licenses,Expense,4558.58
2023-08-15,Office Rent,Revenue,10074.04
2023-10-01,Utilities,Expense,1230.44
2024-03-31,Software Licenses,Expense,5144.97
2023-04-16,Utilities,Revenue,9351.9
2024-01-09,Salaries,Revenue,8825.23
2023-02-25,Marketing,Revenue,3730.77
2024-03-12,Product Sales,Expense,6349.4
2023-10-18,Utilities,Expense,2835.07
2024-11-24,Utilities,Revenue,2143.25
2023-02-20,Product Sales,Revenue,2290.97
2024-05-28,Salaries,Expense,1333.43
2024-08-05,Product Sales,Revenue,2607.24
2024-05-08,Salaries,Revenue,10118.07
2024-02-03,Salaries,Expense,6635.33
2023-04-16,Marketing,Expense,6139.84
2024-05-06,Utilities,Expense,6429.98
2024-06-22,Marketing,Revenue,2768.23
2023-04-20,Marketing,Expense,8865.48
2023-01-06,Utilities,Expense,6044.8
2023-04-08,Utilities,Expense,9563.07
2024-11-26,Software Licenses,Revenue,4701.9
2023-12-03,Product Sales,Expense,9594.65
2023-11-12,Service Fees,Revenue,4568.37
2024-09-21,Marketing,Revenue,4069.5
2024-08-08,Office Rent,Expense,5837.74
2023-07-12,Salaries,Revenue,1093.14
2023-04-17,Product Sales,Expense,7499.48
2023-05-08,Salaries,Revenue,5937.07
2024-03-27,Product Sales,Expense,4247.72
2023-05-13,Product Sales,Expense,10140.21
2024-04-07,Office Rent,Revenue,6723.26
2024-10-10,Utilities,Revenue,6064.36
2023-05-26,Office Rent,Revenue,1903.66
2023-12-31,Office Rent,Revenue,3801.04
2023-10-31,Marketing,Revenue,3144.05
2024-06-15,Software Licenses,Revenue,687.45
2023-05-24,Service Fees,Expense,6786.79
2024-08-29,Software Licenses,Expense,8510.45
2024-07-01,Product Sales,Revenue,5560.3
2023-02-26,Marketing,Expense,7306.14
2024-02-04,Service Fees,Expense,6154.57
2023-02-26,Office Rent,Revenue,1444.7
2024-03-19,Software Licenses,Revenue,4237.58
2023-05-03,Office Rent,Revenue,8723.08
2023-11-18,Service Fees,Expense,10629.03
2023-06-22,Product Sales,Revenue,1669.5
2024-10-12,Service Fees,Expense,9235.02
2024-02-16,Marketing,Expense,1147.71
2024-09-21,Service Fees,Revenue,2443.91
2023-10-18,Service Fees,Expense,9581.65
2024-05-31,Product Sales,Revenue,1062.57
2022-12-26,Service Fees,Revenue,9718.33
2024-01-20,Service Fees,Expense,2086.46
2023-01-06,Software Licenses,Revenue,5306.24
2024-12-01,Marketing,Revenue,3814.2
2024-03-16,Utilities,Revenue,8811.67
2024-06-29,Software Licenses,Expense,631.12
2023-06-28,Software Licenses,Expense,7707.68
2023-02-25,Salaries,Revenue,6798.44
2024-07-29,Utilities,Revenue,2107.17
2024-10-24,Software Licenses,Expense,9645.19
2024-08-19,Salaries,Revenue,4041.3
2024-07-17,Utilities,Revenue,9778.27
2023-09-15,Office Rent,Expense,6304.86
2023-04-23,Marketing,Revenue,1469.71
2024-04-27,Marketing,Revenue,5839.7
2024-02-08,Service Fees,Expense,6002.61
2023-06-21,Salaries,Revenue,9360.35
2024-06-25,Salaries,Revenue,6708.86
2024-05-10,Salaries,Revenue,6194.47
2023-01-26,Product Sales,Revenue,6638.78
2024-04-29,Product Sales,Revenue,5300.09
2023-10-12,Utilities,Expense,8273.96
2023-01-22,Salaries,Revenue,7635.96
2023-05-01,Service Fees,Expense,7629.45
2023-01-16,Office Rent,Revenue,3869.42
2024-03-25,Salaries,Revenue,7662.94
2024-10-29,Software Licenses,Expense,1651.03
2024-02-01,Utilities,Revenue,7262.86
2023-08-09,Service Fees,Revenue,1196.37
2023-08-24,Software Licenses,Revenue,9901.38
2024-12-25,Salaries,Expense,5922.54
2023-04-01,Office Rent,Expense,1602.81
2023-02-07,Service Fees,Revenue,894.66
2023-05-13,Office Rent,Revenue,605.13
2024-11-03,Utilities,Revenue,6777.81
2023-11-30,Marketing,Revenue,5547.94
2023-03-25,Office Rent,Revenue,8804.34
2023-04-10,Salaries,Revenue,5019.34
2023-06-13,Software Licenses,Revenue,10754.87
2024-04-21,Product Sales,Expense,7102.72
2023-05-13,Service Fees,Expense,1504.24
2023-02-02,Service Fees,Expense,6329.39
2024-08-21,Product Sales,Revenue,4124.99
2023-07-20,Utilities,Expense,7210.64
2024-01-05,Software Licenses,Revenue,5333.94
2023-06-18,Salaries,Revenue,1553.91
2024-01-27,Utilities,Expense,677.54
2024-02-22,Utilities,Revenue,2255.35
2023-07-20,Salaries,Expense,3562.11
2023-01-27,Office Rent,Expense,2325.1
2024-11-03,Service Fees,Revenue,6823.08
2023-07-19,Software Licenses,Revenue,9544.65
2023-11-24,Salaries,Revenue,6908.12
2023-12-18,Salaries,Revenue,4015.78
2023-04-25,Service Fees,Revenue,1504.92
2023-01-09,Salaries,Expense,5880.73
2024-01-29,Utilities,Expense,6172.39
2023-03-06,Utilities,Revenue,5690.05
2024-05-28,Marketing,Expense,6455.32
2024-02-02,Software Licenses,Revenue,9705.82
2023-12-25,Software Licenses,Expense,6366.59
2023-11-20,Service Fees,Expense,9339.01
2024-04-18,Office Rent,Expense,10264.92
2023-11-28,Marketing,Revenue,1940.48
2023-11-10,Utilities,Expense,6324.17
2023-01-30,Product Sales,Expense,9751.86
2024-01-28,Utilities,Revenue,3371.45
2023-04-22,Marketing,Revenue,4272.74
2024-08-26,Utilities,Expense,4503.31
2024-11-12,Salaries,Revenue,1624.67
2024-09-12,Software Licenses,Revenue,8627.34
2024-09-11,Marketing,Revenue,6269.35
2023-03-26,Software Licenses,Expense,8210.45
2024-04-28,Salaries,Revenue,2174.52
2023-09-11,Office Rent,Expense,9617.23
2023-02-24,Salaries,Expense,5247.02
2024-02-26,Marketing,Revenue,4492.55
2024-03-24,Product Sales,Revenue,5495.98
2023-07-10,Marketing,Expense,774.82
2024-10-08,Software Licenses,Expense,6187.32
2024-02-24,Service Fees,Expense,2678.53
2024-07-23,Office Rent,Expense,7926.19
2024-12-21,Software Licenses,Revenue,6127.41
2023-04-23,Salaries,Expense,1888.98
2024-04-21,Salaries,Expense,9821.42
2024-12-15,Product Sales,Revenue,7055.39
2023-09-23,Product Sales,Revenue,2902.56
2023-05-30,Service Fees,Expense,1432.75
2024-04-06,Marketing,Expense,5320.09
2024-12-05,Service Fees,Revenue,9617.04
2024-09-05,Marketing,Revenue,9416.31
2024-09-04,Marketing,Revenue,7518.13
2024-09-21,Product Sales,Expense,5435.35
2023-11-12,Service Fees,Expense,9541.2
2024-05-10,Marketing,Revenue,1062.8
2024-06-04,Salaries,Revenue,8775.82
2023-12-03,Utilities,Revenue,4912.33
2023-05-31,Marketing,Expense,5819.37
2023-03-26,Software Licenses,Revenue,5449.44
2024-08-24,Salaries,Expense,5344.98
2023-01-17,Utilities,Revenue,9469.48
2023-06-30,Service Fees,Expense,6733.91
2024-10-21,Office Rent,Expense,1695.82
2024-03-22,Service Fees,Expense,8985.52
2024-05-25,Software Licenses,Expense,1774.27
2023-10-07,Salaries,Expense,7504.73
2023-04-17,Utilities,Expense,5896.25
2024-10-24,Marketing,Revenue,8835.1
2024-08-12,Salaries,Expense,627.15
2023-02-21,Utilities,Expense,2635.31
2024-09-12,Service Fees,Revenue,2342.7
2023-08-08,Product Sales,Expense,8379.14
2024-12-07,Service Fees,Expense,9159.46
2024-10-18,Salaries,Expense,2121.68
2023-05-20,Software Licenses,Expense,7752.91
2023-04-02,Service Fees,Expense,2308.58
2023-05-12,Product Sales,Revenue,5003.52
2023-05-27,Utilities,Expense,9750.19
2023-07-05,Utilities,Revenue,791.53
2024-07-17,Office Rent,Revenue,8869.09
2023-09-20,Product Sales,Expense,5661.54
2024-04-24,Salaries,Revenue,5205.42
2023-01-13,Salaries,Expense,3494.16
2024-12-14,Product Sales,Expense,5527.65
2024-09-13,Utilities,Revenue,5047.94
2023-10-03,Software Licenses,Revenue,9268.67
2024-04-12,Service Fees,Revenue,5598.74
2023-02-18,Utilities,Revenue,7607.23
2023-04-27,Office Rent,Expense,5463.73
2023-04-16,Utilities,Expense,4116.64
2024-04-03,Salaries,Expense,9386.31
2022-12-30,Marketing,Expense,3289.13
2023-08-07,Software Licenses,Expense,7127.98
2023-06-08,Service Fees,Expense,8438.06
2023-01-15,Marketing,Revenue,2939.08
2024-03-18,Product Sales,Expense,8232.59
2023-02-14,Software Licenses,Revenue,3247.64
2023-02-11,Service Fees,Revenue,9606.62
2023-07-25,Software Licenses,Revenue,5254.18
2023-05-21,Software Licenses,Expense,9696.67
2024-09-05,Product Sales,Expense,1446.1
2023-10-23,Product Sales,Expense,9130.01
2024-04-11,Service Fees,Expense,10424.19
2023-10-16,Product Sales,Expense,9434.56
2023-05-29,Service Fees,Expense,7645.35
2024-02-16,Software Licenses,Revenue,2641.34
2023-12-09,Service Fees,Expense,8918.29
2024-11-09,Office Rent,Expense,6606.67
2023-10-31,Salaries,Revenue,7414.85
2024-03-29,Office Rent,Revenue,3287.69
2024-10-29,Office Rent,Expense,1501.02
2024-10-26,Marketing,Expense,5053.56
2023-01-08,Office Rent,Expense,6674.46
2024-10-29,Service Fees,Revenue,2844.21
2023-04-06,Software Licenses,Expense,2577.07
2024-06-30,Service Fees,Revenue,6038.66
2024-07-04,Office Rent,Expense,6086.43
2023-08-19,Software Licenses,Revenue,10062.2
2024-03-03,Utilities,Revenue,5223.5
2024-10-11,Marketing,Revenue,5407.58
2024-01-09,Utilities,Revenue,1478.59
2024-08-18,Product Sales,Expense,3214.69
2024-03-18,Service Fees,Revenue,7505.09
2023-03-08,Marketing,Revenue,8545.33
2023-02-23,Software Licenses,Expense,9390.99
2024-08-20,Salaries,Revenue,9410.27
2024-06-17,Service Fees,Expense,5657.13
2023-10-06,Office Rent,Expense,8074.27
2024-06-10,Marketing,Expense,4053.1
2023-03-01,Software Licenses,Expense,5449.94
2024-07-16,Office Rent,Revenue,5606.29
2022-12-31,Salaries,Revenue,5862.74
2024-11-30,Salaries,Expense,2544.77
2023-02-05,Service Fees,Expense,9390.39
2023-05-21,Service Fees,Revenue,3356.41
2024-08-24,Product Sales,Revenue,8740.55
2024-01-22,Salaries,Revenue,7856.86
2023-12-28,Salaries,Revenue,10376.51
2023-03-29,Software Licenses,Revenue,4658.79
2023-08-11,Utilities,Expense,1743.91
2023-08-16,Salaries,Revenue,7295.03
2024-04-30,Utilities,Expense,9319.88
2023-09-12,Utilities,Expense,8604.59
2024-03-25,Utilities,Expense,2543.37
2024-04-15,Marketing,Expense,8418.38
2024-04-14,Salaries,Revenue,8388.82
2023-06-02,Office Rent,Revenue,4463.22
2024-01-03,Software Licenses,Revenue,1111.28
2023-02-19,Utilities,Expense,2210.98
2024-11-09,Service Fees,Expense,5766.25
2023-10-16,Office Rent,Expense,1895.58
2024-11-20,Office Rent,Revenue,5022.46
2024-11-23,Utilities,Revenue,2013.7
2024-03-03,Office Rent,Expense,7438.1
2023-04-24,Product Sales,Revenue,2671.1
2024-10-19,Service Fees,Expense,9380.66
2023-11-06,Marketing,Expense,7088.71
2023-10-03,Software Licenses,Expense,447.33
2024-10-22,Marketing,Expense,4955.51
2023-09-09,Product Sales,Revenue,4030.63
2024-04-20,Product Sales,Expense,8526.29
2023-06-16,Marketing,Expense,2729.05
2023-11-28,Utilities,Expense,7160.53
2023-08-31,Software Licenses,Revenue,5719.04
2024-07-17,Marketing,Expense,4840.15
2023-03-23,Office Rent,Expense,1295.77
2023-12-08,Software Licenses,Expense,7243.15
2023-04-10,Marketing,Expense,2191.72
2023-01-14,Salaries,Revenue,7130.35
2023-11-17,Office Rent,Expense,1938.14
2024-10-15,Salaries,Expense,2456.65
2024-04-18,Utilities,Expense,3496.36
2024-11-19,Salaries,Revenue,1196.03
2023-06-10,Utilities,Revenue,1292.54
2023-08-23,Salaries,Revenue,1690.72
2023-04-29,Software Licenses,Revenue,8133.36
2023-08-04,Service Fees,Expense,2249.59
2023-04-11,Product Sales,Revenue,7726.45
2024-03-04,Marketing,Revenue,5322.91
2024-02-07,Utilities,Expense,4976.96
2024-10-29,Office Rent,Expense,9069.17
2023-03-17,Utilities,Revenue,6087.8
2024-11-06,Product Sales,Revenue,7307.21
2024-01-29,Office Rent,Expense,9902.85
2024-06-15,Salaries,Expense,1975.42
2023-04-16,Marketing,Expense,3467.94
2024-07-13,Utilities,Expense,3641.93
2023-06-16,Product Sales,Expense,8828.69
2023-01-20,Salaries,Revenue,4836.64
2023-02-18,Marketing,Expense,10742.33
2023-10-20,Marketing,Revenue,3077.67
2024-03-21,Office Rent,Expense,8110.16
2024-09-30,Product Sales,Expense,1092.27
2024-03-15,Service Fees,Revenue,6890.93
2024-06-21,Utilities,Revenue,9076.63
2023-09-11,Service Fees,Revenue,8398.15
2023-12-01,Utilities,Revenue,3311.28
2024-04-06,Software Licenses,Expense,1905.83
2024-01-11,Marketing,Revenue,6807.33
2024-03-23,Service Fees,Revenue,3310.05
2023-05-05,Marketing,Revenue,9556.6
2023-05-31,Product Sales,Revenue,8918.78
2023-08-09,Utilities,Expense,2118.3
2024-05-21,Software Licenses,Revenue,2135.98
2024-10-23,Utilities,Expense,8836.52
2023-12-26,Product Sales,Revenue,9373.5
2023-08-28,Service Fees,Expense,6866.97
2023-12-02,Software Licenses,Expense,669.89
2023-09-10,Software Licenses,Revenue,6274.67
2024-02-21,Office Rent,Revenue,1958.11
2023-09-21,Service Fees,Expense,9533.85
2024-10-10,Marketing,Expense,4749.7
2024-03-26,Salaries,Expense,1721.45
2024-08-17,Product Sales,Expense,9928.44
2023-09-10,Marketing,Expense,1687.82
2024-07-25,Utilities,Revenue,8713.73
2024-02-04,Product Sales,Expense,3871.86
2023-01-24,Office Rent,Expense,8497.15
2024-09-19,Service Fees,Expense,4952.19
2023-01-07,Marketing,Expense,930.38
2024-09-21,Service Fees,Revenue,9203.3
2024-02-25,Software Licenses,Revenue,3529.22
2024-01-18,Utilities,Revenue,3815.06
2023-03-25,Product Sales,Expense,9583.15
2024-08-20,Product Sales,Revenue,863.87
2023-09-05,Marketing,Expense,5843.33
2023-03-07,Service Fees,Expense,6581.55
2024-03-21,Office Rent,Revenue,1225.87
2024-05-20,Product Sales,Expense,7022.26
2024-12-10,Software Licenses,Revenue,10593.62
2024-04-23,Office Rent,Expense,8159.26
2024-01-31,Marketing,Revenue,3614.08
2024-06-29,Utilities,Revenue,8797.39
2024-08-14,Utilities,Revenue,6616.65
2023-09-01,Marketing,Expense,6706.08
2024-06-20,Salaries,Revenue,8605.79
2024-09-25,Marketing,Expense,1257.42
2023-06-04,Marketing,Expense,955.83
2024-04-14,Marketing,Revenue,1303.9
2024-03-26,Office Rent,Revenue,1221.23
2023-02-09,Service Fees,Revenue,1244.5
2023-06-10,Office Rent,Expense,6659.04
2023-12-22,Utilities,Expense,981.66
2023-03-08,Software Licenses,Revenue,4095.77
2023-01-13,Office Rent,Revenue,9694.34
2023-07-08,Office Rent,Revenue,2949.74
2024-04-02,Salaries,Expense,9079.68
2023-04-23,Service Fees,Expense,531.84
2023-02-08,Office Rent,Expense,7735.48
2023-10-11,Utilities,Revenue,2535.16
2023-04-13,Service Fees,Revenue,7575.26
2023-01-20,Salaries,Expense,9656.3
2023-09-23,Salaries,Expense,1261.33
2024-04-10,Office Rent,Revenue,3665.01
2023-04-01,Marketing,Expense,9810.26
2023-07-31,Office Rent,Revenue,5196.16
2024-10-29,Service Fees,Revenue,1521.95
2023-01-05,Software Licenses,Expense,8046.58
2024-09-24,Product Sales,Revenue,6766.64
2023-04-15,Product Sales,Revenue,1682.03
2023-05-10,Office Rent,Revenue,9075.69
2024-05-14,Software Licenses,Expense,2511.73
2023-04-11,Software Licenses,Expense,2552.04
2024-05-07,Product Sales,Expense,7712.96
2024-04-04,Service Fees,Revenue,1567.11
2024-09-10,Salaries,Expense,7275.44
2023-11-16,Software Licenses,Expense,1407.44
2023-11-25,Salaries,Expense,5931.45
2024-08-21,Office Rent,Revenue,8775.12
2024-02-15,Software Licenses,Revenue,6198.97
2024-01-14,Marketing,Revenue,1504.94
2023-05-14,Office Rent,Expense,8128.02
2024-03-28,Software Licenses,Revenue,1125.78
2024-11-16,Salaries,Revenue,4917.97
2023-03-13,Product Sales,Expense,6600.81
